"team1","team2","winner","venue"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Pune Warriors","Pune Warriors","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","Barabati Stadium, Cuttack"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sawai Mansingh Stadium, Jaipur"
"Pune Warriors","Delhi Capitals","Delhi Capitals","Maharashtra Cricket Association Stadium, Pune"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Pune Warriors","Deccan Chargers","Deccan Chargers","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Punjab Kings","Punjab Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Deccan Chargers","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Pune Warriors","Deccan Chargers","Barabati Stadium, Cuttack"
"Rajasthan Royals","Delhi Capitals","Delhi Capitals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","M Chinnaswamy Stadium, Bengaluru"
"Pune Warriors","Mumbai Indians","Mumbai Indians","Maharashtra Cricket Association Stadium, Pune"
"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Deccan Chargers","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Arun Jaitley Stadium, Delhi"
"Pune Warriors","Rajasthan Royals","Rajasthan Royals","Maharashtra Cricket Association Stadium, Pune"
"Deccan Chargers","Punjab Kings","Punjab Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","Sawai Mansingh Stadium, Jaipur"
"Pune Warriors","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Pune Warriors","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Deccan Chargers","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","Wankhede Stadium, Mumbai"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Rajasthan Royals","Deccan Chargers","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Himachal Pradesh Cricket Association, Dharmasala"
"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Deccan Chargers","Royal Challengers Bengaluru","Deccan Chargers","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Sawai Mansingh Stadium, Jaipur"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Pune Warriors","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Pune Warriors","Punjab Kings","Punjab Kings","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Pune Warriors","Rajasthan Royals","Pune Warriors","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Pune Warriors","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Pune Warriors","Pune Warriors","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Kolkata Knight Riders","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Pune Warriors","Sunrisers Hyderabad","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium, Pune"
"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Pune Warriors","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Pune Warriors","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Delhi Capitals","Punjab Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Pune Warriors","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Pune Warriors","Chennai Super Kings","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Pune Warriors","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Pune Warriors","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Pune Warriors","Mumbai Indians","Mumbai Indians","Maharashtra Cricket Association Stadium, Pune"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","JSCA International Stadium Complex, Ranchi"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Delhi Capitals","Punjab Kings","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Pune Warriors","Pune Warriors","JSCA International Stadium Complex, Ranchi"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Mumbai Indians","Punjab Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Pune Warriors","Delhi Capitals","Pune Warriors","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Eden Gardens, Kolkata"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Punjab Kings","Punjab Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Punjab Kings","Punjab Kings","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Sunrisers Hyderabad","Punjab Kings","Sharjah Cricket Stadium, Sharjah"
"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","Sharjah Cricket Stadium, Sharjah"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Sharjah Cricket Stadium, Sharjah"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Sharjah Cricket Stadium, Sharjah"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","JSCA International Stadium Complex, Ranchi"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Barabati Stadium, Cuttack"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Barabati Stadium, Cuttack"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","JSCA International Stadium Complex, Ranchi"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Punjab Kings","Punjab Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Barabati Stadium, Cuttack"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","JSCA International Stadium Complex, Ranchi"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Narendra Modi Stadium, Ahmedabad"
"Delhi Capitals","Punjab Kings","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","JSCA International Stadium Complex, Ranchi"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Delhi Capitals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Maharashtra Cricket Association Stadium, Pune"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Eden Gardens, Kolkata"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Punjab Kings","Punjab Kings","Narendra Modi Stadium, Ahmedabad"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Narendra Modi Stadium, Ahmedabad"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Chennai Super Kings","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Brabourne Stadium, Mumbai"
"Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","JSCA International Stadium Complex, Ranchi"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Eden Gardens, Kolkata"
"Mumbai Indians","Rising Pune Supergiants","Rising Pune Supergiants","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Gujarat Lions","Gujarat Lions","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Gujarat Lions","Rising Pune Supergiants","Gujarat Lions","Saurashtra Cricket Association Stadium, Rajkot"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Gujarat Lions","Gujarat Lions","Wankhede Stadium, Mumbai"
"Punjab Kings","Rising Pune Supergiants","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","Wankhede Stadium, Mumbai"
"Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","Saurashtra Cricket Association Stadium, Rajkot"
"Rising Pune Supergiants","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Gujarat Lions","Royal Challengers Bengaluru","Gujarat Lions","Saurashtra Cricket Association Stadium, Rajkot"
"Rising Pune Supergiants","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
